"전출지별","전입지별","이동규모별",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"부산광역시","강원도","2인",123,128,140,124,174,127,129,124,116,109
"부산광역시","강원도","3인",80,63,79,61,56,47,64,49,59,49
"부산광역시","강원도","4인",46,38,33,33,27,46,30,26,31,27
"부산광역시","강원도","5인",11,11,19,12,9,10,6,7,4,8
"부산광역시","충청북도","계",1355,1514,1592,1475,1593,1650,1577,1636,1746,1612
"부산광역시","충청북도","1인",1132,1278,1353,1239,1352,1452,1397,1460,1567,1475
"부산광역시","충청북도","2인",122,110,124,138,126,121,83,108,103,87
"부산광역시","충청북도","3인",57,73,62,53,58,37,61,36,43,32
"부산광역시","충청북도","4인",34,30,39,31,28,28,30,23,26,15
"부산광역시","충청북도","5인",7,11,8,8,18,10,5,7,7,3
"부산광역시","충청남도","계",2296,2747,2467,2433,2518,2467,2469,2520,2627,2306
"부산광역시","충청남도","1인",1951,2268,2089,2017,2116,2141,2150,2239,2325,2058
"부산광역시","충청남도","2인",179,234,181,214,200,161,157,154,163,132
"부산광역시","충청남도","3인",87,128,101,108,107,97,85,65,71,73
"부산광역시","충청남도","4인",63,80,77,82,75,46,66,47,58,37
"부산광역시","충청남도","5인",10,12,12,9,16,17,10,14,9,6
"부산광역시","전라북도","계",1180,1278,1293,1257,1243,1110,1205,1312,1238,1130
"부산광역시","전라북도","1인",978,1095,1083,1052,1070,978,1059,1155,1101,992
"부산광역시","전라북도","2인",115,101,103,132,95,71,88,90,79,94
"부산광역시","전라북도","3인",46,40,60,30,34,40,33,42,35,23
"부산광역시","전라북도","4인",32,29,34,26,27,13,18,21,19,16
"부산광역시","전라북도","5인",9,12,6,12,9,7,5,4,4,4
"부산광역시","전라남도","계",2584,2601,2768,2690,2605,2747,2875,2865,2678,2533
"부산광역시","전라남도","1인",2122,2196,2300,2268,2209,2359,2503,2549,2414,2275
"부산광역시","전라남도","2인",251,219,247,248,220,233,218,189,164,154
"부산광역시","전라남도","3인",122,118,125,99,97,95,92,72,59,65
"부산광역시","전라남도","4인",70,53,73,60,66,47,48,49,36,32
"부산광역시","전라남도","5인",17,13,16,12,13,10,12,3,5,7
"부산광역시","경상북도","계",7783,8348,8616,7534,7402,7377,7543,7711,8554,7073
"부산광역시","경상북도","1인",6609,7060,7311,6411,6363,6523,6669,6864,7699,6376
"부산광역시","경상북도","2인",645,755,763,650,609,505,502,526,523,454
"부산광역시","경상북도","3인",297,311,312,269,256,204,235,191,205,129
"부산광역시","경상북도","4인",184,170,174,160,137,115,116,104,96,85
"부산광역시","경상북도","5인",39,38,40,32,25,24,19,21,24,25
"부산광역시","경상남도","계",38818,41667,41923,40789,44321,40001,39217,40420,40113,34238
"부산광역시","경상남도","1인",29530,31775,32799,31272,33014,32045,31777,33146,32687,29011
"부산광역시","경상남도","2인",4352,4590,4543,4580,5198,4114,3770,3900,4145,2976
"부산광역시","경상남도","3인",2725,2853,2515,2784,3382,2198,2104,1917,1928,1436
"부산광역시","경상남도","4인",1809,1998,1645,1744,2195,1333,1256,1179,1088,668
"부산광역시","경상남도","5인",330,381,337,340,437,267,255,235,225,120
"부산광역시","제주특별자치도","계",1518,1640,2064,2179,2309,2228,2142,2140,2190,1928
"부산광역시","제주특별자치도","1인",1253,1346,1682,1757,1906,1887,1853,1878,1869,1620
"부산광역시","제주특별자치도","2인",128,164,191,206,214,176,142,139,184,179
"부산광역시","제주특별자치도","3인",75,68,114,115,113,92,83,83,85,85
"부산광역시","제주특별자치도","4인",51,57,59,77,62,57,55,37,36,36
"부산광역시","제주특별자치도","5인",9,5,16,20,12,13,9,3,15,8
"대구광역시","전국","계",214986,221379,222810,210247,209854,216174,222001,242817,227675,198864
"대구광역시","전국","1인",141706,149226,151421,145753,146596,154066,161599,178311,172367,156033
"대구광역시","전국","2인",27586,28017,28121,25419,25623,26184,26571,28398,25710,20034
"대구광역시","전국","3인",22288,21834,21681,19916,19382,18726,17690,19021,15941,12426
"대구광역시","전국","4인",18589,17593,17229,15438,14826,13873,13054,14046,11226,8624
"대구광역시","전국","5인",3971,3871,3608,3111,2876,2786,2596,2619,2087,1528
"대구광역시","서울특별시","계",11203,11481,11136,11123,11265,12041,12839,13437,12774,12887
"대구광역시","서울특별시","1인",9820,10215,10050,10136,10241,10997,11848,12355,11951,12183
"대구광역시","서울특별시","2인",709,644,561,534,555,596,538,618,475,416
"대구광역시","서울특별시","3인",347,330,289,253,260,268,251,261,194,173
"대구광역시","서울특별시","4인",260,238,191,169,173,157,175,175,123,91
"대구광역시","서울특별시","5인",51,42,38,26,29,17,24,26,27,22
